id;id_mapel;nama_mapel
;100011000;Pendidikan Agama Islam
;100011070;Pendidikan Agama Islam dan Budi Pekerti
;100012000;Pendidikan Agama Kristen 
;100012050;Pendidikan Agama Kristen dan Budi Pekerti
;100013000;Pendidikan Agama Katholik
;100013010;Pendidikan Agama Katholik dan Budi Pekerti
;100014000;Pendidikan Agama Buddha
;100014140;Pendidikan Agama Buddha dan Budi Pekerti
;100015000;Pendidikan Agama Hindu
;100015010;Pendidikan Agama Hindu dan Budi Pekerti
;100016000;Pendidikan Agama Konghuchu 
;100016010;Pendidikan Agama Konghuchu dan Budi Pekerti
;109011000;Pendidikan Kepercayaan terhadap Tuhan YME
;109011010;Pendidikan Kepercayaan terhadap Tuhan YME dan Budi Pekerti
;200010000;Pendidikan Pancasila dan Kewarganegaraan 
;200010200;Pendidikan Kewarganegaraan 
;300110000;Bahasa Indonesia
;300210000;Bahasa Inggris
;300310100;Bahasa Arab
;300310200;Bahasa Belanda
;300310300;Bahasa Cina
;300310400;Bahasa Jepang
;300310500;Bahasa Jerman
;300310600;Bahasa Korea
;300310700;Bahasa Mandarin
;300310800;Bahasa Perancis
;300311900;Muatan Lokal Bahasa Daerah
;300312900;Muatan Lokal Potensi Daerah
;401000000;Matematika (Umum)
;401100000;Ilmu Pengetahuan Alam (IPA)
;401110000;Ilmu Pengetahuan Alam (Terapan)
;401110200;Biologi
;401110300;Biologi Perikanan
;401121000;Fisika
;401130000;Kimia
;401130100;Kimia
;401130200;Teknik Dasar Pekerjaan Laboratorium Kimia
;401130300;Analisis Kimia Dasar
;401130400;Kimia Organik
;401130500;Kimia Analitik Terapan
;401130600;Analisis Kimia Terpadu
;401130610;Analisis Bahan Anorganik
;401130620;Analisis Bahan Organik
;401130700;Azas Teknik Kimia
;401130800;Operasi Teknik Kimia
;401130900;Proses Industri Kimia
;401130910;Evaluasi Kimia dan Fisika Tekstil
;401130920;Pencelupan & Analisa Zat warna
;401131000;Alat Mesin Industri Kimia
;401131100;Kimia Klinik 
;401131110;Alat Industri Kimia
;401131300;Analisis Kimia Terapan
;401131400;Analisis Kuantitatif Konvensional
;401131500;Analisis Mikrobiologi
;401131600;Analisis Proksimat
;401131700;Penyempurnaan Khusus Kimia & Fisika
;401131800;Proses Persiapan Kimia Tekstil
;401131900;Teknik Pencapan & Colour Matching
;401132100;Analisis Kimia Instrumen
;401140100;Mikro Biologi
;401140200;Bakteriologi
;401140300;Parasitologi
;401140400;Hematologi
;401140600;Patofisiologi
;401140700;Immunologi
;401140800;Dasar-dasar Mikrobiologi
;401140900;Analisis Konstanta fisik
;401141100;Farmakologi
;401141200;Farmakognosi
;401141210;Farmakognosi Dasar
;401141300;Administrasi Farmasi
;401141400;Kimia Farmasi
;401141500;Pelayanan Farmasi
;401141510;Ilmu Farmasi
;401141600;Teknik Pembuatan Sediaan Obat
;401141700;Teknologi Pengemasan Produk
;401141800;Manajemen Produksi Obat
;401200000;Ilmu Pengetahuan Sosial (IPS)
;401231000;Sejarah Indonesia
